timestamp,action,side,price,quantity,order_id
2025-07-26 18:24:00+00:00,sell,yes,0.28,1,1
2025-07-26 19:01:00+00:00,buy,yes,0.24,2,2
2025-07-26 22:40:00+00:00,sell,yes,0.25,1,8
2025-07-27 02:12:00+00:00,sell,yes,0.26,1,14
2025-07-27 13:01:00+00:00,sell,yes,0.3,1,20
2025-07-27 16:10:00+00:00,sell,yes,0.39,1,29
2025-07-27 18:36:00+00:00,sell,yes,0.43,1,33
2025-07-27 19:23:00+00:00,sell,yes,0.79,1,43
2025-07-27 19:28:00+00:00,sell,yes,0.85,1,45
2025-07-27 19:33:00+00:00,sell,yes,0.91,1,47
2025-07-27 19:44:00+00:00,sell,yes,0.96,1,48
